Season,Player Name,Conference,Date,Team,Pos,Hight,Weight,Age,PreDraftTeam,DraftYear,YOS
1995-1996,Shawn Kemp,,"Nov 26, 1995","
Seattle SuperSonics
",C,6-10,280,26,Trinity Valley CC,1989,6
1995-1996,Cedric Ceballos,,"Nov 19, 1995","
Los Angeles Lakers
",SF,6-6,190,26,Cal State Fullerton,1990,5
1995-1996,Penny Hardaway,,"Nov 12, 1995","
Orlando Magic
",PG,6-7,195,24,Memphis,1993,2
1994-1995,Karl Malone,,"Apr 23, 1995","
Utah Jazz
",PF,6-9,265,31,Louisiana Tech,1985,9
1994-1995,Dikembe Mutombo,,"Apr 16, 1995","
Denver Nuggets
",C,7-2,260,28,Georgetown,1991,3
1994-1995,Clyde Drexler,,"Apr 9, 1995","
Houston Rockets
",SG,6-7,210,32,Houston,1983,11
1994-1995,David Robinson,,"Apr 2, 1995","
San Antonio Spurs
",C,7-1,250,29,Navy,1987,5
1994-1995,Vlade Divac,,"Mar 26, 1995","
Los Angeles Lakers
",C,7-1,260,27,KK Partizan (Serbia),1989,5
1994-1995,Jason Kidd,,"Mar 19, 1995","
Dallas Mavericks
",PG,6-4,210,21,California,1994,0
1994-1995,Rik Smits,,"Mar 12, 1995","
Indiana Pacers
",C,7-4,250,28,Marist,1988,6
1994-1995,Shaquille O'Neal,,"Mar 5, 1995","
Orlando Magic
",C,7-1,325,22,LSU,1992,2
1994-1995,Rod Strickland,,"Feb 26, 1995","
Portland Trail Blazers
",PG,6-3,175,28,DePaul,1988,6
1994-1995,Charles Barkley,,"Feb 19, 1995","
Phoenix Suns
",PF,6-6,252,32,Auburn,1984,10
1994-1995,Hakeem Olajuwon,,"Feb 5, 1995","
Houston Rockets
",C,7-0,255,32,Houston,1984,10
1994-1995,John Stockton,,"Jan 29, 1995","
Utah Jazz
",PG,6-1,170,32,Gonzaga,1984,10
1994-1995,Patrick Ewing,,"Jan 22, 1995","
New York Knicks
",C,7-0,240,32,Georgetown,1985,9
1994-1995,Larry Johnson,,"Jan 15, 1995","
Charlotte Hornets
",F,6-6,250,25,UNLV,1991,3
1994-1995,Gary Payton,,"Jan 8, 1995","
Seattle SuperSonics
",G,6-4,180,26,Oregon State,1990,4
1994-1995,Hakeem Olajuwon,,"Jan 1, 1995","
Houston Rockets
",C,7-0,255,32,Houston,1984,10
1994-1995,Cedric Ceballos,,"Dec 25, 1994","
Los Angeles Lakers
",SF,6-6,190,25,Cal State Fullerton,1990,4
1994-1995,Karl Malone,,"Dec 18, 1994","
Utah Jazz
",PF,6-9,265,31,Louisiana Tech,1985,9
1994-1995,Jamal Mashburn,,"Dec 11, 1994","
Dallas Mavericks
",SF,6-8,247,22,Kentucky,1993,1
1994-1995,Shaquille O'Neal,,"Dec 4, 1994","
Orlando Magic
",C,7-1,325,22,LSU,1992,2
1994-1995,Penny Hardaway,,"Nov 27, 1994","
Orlando Magic
",PG,6-7,195,23,Memphis,1993,1
1994-1995,Elliot Perry,,"Nov 20, 1994","
Phoenix Suns
",PG,6-0,150,25,Memphis,1991,3
1994-1995,Tim Hardaway,,"Nov 13, 1994","
Golden State Warriors
",PG,6-0,175,28,UTEP,1989,5
1993-1994,David Robinson,,"Apr 24, 1994","
San Antonio Spurs
",C,7-1,250,28,Navy,1987,4
1993-1994,Scottie Pippen,,"Apr 17, 1994","
Chicago Bulls
",SF,6-8,228,28,Central Arkansas,1987,6
1993-1994,Dikembe Mutombo,,"Apr 10, 1994","
Denver Nuggets
",C,7-2,260,27,Georgetown,1991,2
1993-1994,Shawn Kemp,,"Apr 3, 1994","
Seattle SuperSonics
",C,6-10,280,24,Trinity Valley CC,1989,4
1993-1994,Kevin Willis,,"Mar 27, 1994","
Atlanta Hawks
",C,7-0,245,31,Michigan State,1984,9
1993-1994,Hakeem Olajuwon,,"Mar 20, 1994","
Houston Rockets
",C,7-0,255,31,Houston,1984,9
1993-1994,Joe Dumars,,"Mar 13, 1994","
Detroit Pistons
",SG,6-3,190,30,McNeese State,1985,8
1993-1994,David Robinson,,"Mar 6, 1994","
San Antonio Spurs
",C,7-1,250,28,Navy,1987,4
1993-1994,Shawn Kemp,,"Feb 27, 1994","
Seattle SuperSonics
",C,6-10,280,24,Trinity Valley CC,1989,4
1993-1994,David Robinson,,"Feb 20, 1994","
San Antonio Spurs
",C,7-1,250,28,Navy,1987,4
1993-1994,David Robinson,,"Feb 6, 1994","
San Antonio Spurs
",C,7-1,250,28,Navy,1987,4
1993-1994,Ron Harper,,"Jan 30, 1994","
Los Angeles Clippers
",SG,6-6,185,30,Miami (OH),1986,7
1993-1994,Kenny Anderson,,"Jan 23, 1994","
New Jersey Nets
",PG,6-0,168,23,Georgia Tech,1991,2
1993-1994,Patrick Ewing,,"Jan 16, 1994","
New York Knicks
",C,7-0,240,31,Georgetown,1985,8
1993-1994,Chris Webber,,"Jan 9, 1994","
Golden State Warriors
",F-C,6-9,245,20,Michigan,1993,0
1993-1994,Oliver Miller,,"Jan 2, 1994","
Phoenix Suns
",C,6-9,280,23,Arkansas,1992,1
1993-1994,Scottie Pippen,,"Dec 26, 1993","
Chicago Bulls
",SF,6-8,228,28,Central Arkansas,1987,6
1993-1994,Karl Malone,,"Dec 19, 1993","
Utah Jazz
",PF,6-9,265,30,Louisiana Tech,1985,8
1993-1994,Shaquille O'Neal,,"Dec 12, 1993","
Orlando Magic
",C,7-1,325,21,LSU,1992,1
1993-1994,David Robinson,,"Dec 5, 1993","
San Antonio Spurs
",C,7-1,250,28,Navy,1987,4
1993-1994,Glen Rice,,"Nov 28, 1993","
Miami Heat
",SF,6-8,228,26,Michigan,1989,4
1993-1994,Charles Barkley,,"Nov 21, 1993","
Phoenix Suns
",PF,6-6,252,31,Auburn,1984,9
1993-1994,Hakeem Olajuwon,,"Nov 14, 1993","
Houston Rockets
",C,7-0,255,31,Houston,1984,9
1992-1993,Larry Johnson,,"Apr 25, 1993","
Charlotte Hornets
",F,6-6,250,23,UNLV,1991,1
1992-1993,Alonzo Mourning,,"Apr 18, 1993","
Charlotte Hornets
",C,6-10,240,23,Georgetown,1992,0
1992-1993,Hakeem Olajuwon,,"Apr 11, 1993","
Houston Rockets
",C,7-0,255,30,Houston,1984,8
1992-1993,Charles Barkley,,"Apr 4, 1993","
Phoenix Suns
",PF,6-6,252,30,Auburn,1984,8
1992-1993,Dikembe Mutombo,,"Mar 28, 1993","
Denver Nuggets
",C,7-2,260,26,Georgetown,1991,1
1992-1993,Patrick Ewing,,"Mar 21, 1993","
New York Knicks
",C,7-0,240,30,Georgetown,1985,7
1992-1993,Rumeal Robinson,,"Mar 14, 1993","
New Jersey Nets
",PG,6-2,195,26,Michigan,1990,2
1992-1993,Rony Seikaly,,"Mar 7, 1993","
Miami Heat
",C,6-11,230,27,Syracuse,1988,4
1992-1993,Hakeem Olajuwon,,"Feb 28, 1993","
Houston Rockets
",C,7-0,255,30,Houston,1984,8
1992-1993,Larry Johnson,,"Feb 14, 1993","
Charlotte Hornets
",F,6-6,250,23,UNLV,1991,1
1992-1993,Nick Anderson,,"Feb 7, 1993","
Orlando Magic
",GF,6-6,228,25,Illinois,1989,3
1992-1993,Karl Malone,,"Jan 31, 1993","
Utah Jazz
",PF,6-9,265,29,Louisiana Tech,1985,7
1992-1993,Patrick Ewing,,"Jan 24, 1993","
New York Knicks
",C,7-0,240,30,Georgetown,1985,7
1992-1993,Hakeem Olajuwon,,"Jan 17, 1993","
Houston Rockets
",C,7-0,255,30,Houston,1984,8
1992-1993,Shawn Kemp,,"Jan 10, 1993","
Seattle SuperSonics
",C,6-10,280,23,Trinity Valley CC,1989,3
1992-1993,David Robinson,,"Jan 3, 1993","
San Antonio Spurs
",C,7-1,250,27,Navy,1987,3
1992-1993,Sean Elliott,,"Dec 27, 1992","
San Antonio Spurs
",SF,6-8,205,25,Arizona,1989,3
1992-1993,Patrick Ewing,,"Dec 20, 1992","
New York Knicks
",C,7-0,240,30,Georgetown,1985,7
1992-1993,Charles Barkley,,"Dec 13, 1992","
Phoenix Suns
",PF,6-6,252,30,Auburn,1984,8
1992-1993,Drazen Petrovic,,"Dec 6, 1992","
New Jersey Nets
",SG,6-5,200,28,KK Cibona (Croatia),1986,3
1992-1993,David Robinson,,"Nov 29, 1992","
San Antonio Spurs
",C,7-1,250,27,Navy,1987,3
1992-1993,Michael Jordan,,"Nov 22, 1992","
Chicago Bulls
",SG,6-6,215,30,North Carolina,1984,8
1992-1993,Shaquille O'Neal,,"Nov 15, 1992","
Orlando Magic
",C,7-1,325,20,LSU,1992,0
1991-1992,Karl Malone,,"Apr 19, 1992","
Utah Jazz
",PF,6-9,265,28,Louisiana Tech,1985,6
1991-1992,Reggie Lewis,,"Apr 12, 1992","
Boston Celtics
",SF,6-7,195,26,Northeastern,1987,4
1991-1992,Mookie Blaylock,,"Apr 5, 1992","
New Jersey Nets
",PG,6-1,190,24,Oklahoma,1989,2
1991-1992,Mark Jackson,,"Mar 29, 1992","
New York Knicks
",PG,6-1,180,26,St. John's,1987,4
1991-1992,Larry Johnson,,"Mar 22, 1992","
Charlotte Hornets
",F,6-6,250,22,UNLV,1991,0
1991-1992,Joe Dumars,,"Mar 15, 1992","
Detroit Pistons
",SG,6-3,190,28,McNeese State,1985,6
1991-1992,Karl Malone,,"Mar 8, 1992","
Utah Jazz
",PF,6-9,265,28,Louisiana Tech,1985,6
1991-1992,Danny Manning,,"Mar 1, 1992","
Los Angeles Clippers
",F,6-10,230,25,Kansas,1988,3
1991-1992,Tim Hardaway,,"Feb 23, 1992","
Golden State Warriors
",PG,6-0,175,25,UTEP,1989,2
1991-1992,John Stockton,,"Feb 16, 1992","
Utah Jazz
",PG,6-1,170,29,Gonzaga,1984,7
1991-1992,Larry Nance,,"Feb 2, 1992","
Cleveland Cavaliers
",PF,6-10,205,33,Clemson,1981,10
1991-1992,Nick Anderson,,"Jan 26, 1992","
Orlando Magic
",GF,6-6,228,24,Illinois,1989,2
1991-1992,Tim Hardaway,,"Jan 19, 1992","
Golden State Warriors
",PG,6-0,175,25,UTEP,1989,2
1991-1992,Michael Jordan,,"Jan 12, 1992","
Chicago Bulls
",SG,6-6,215,29,North Carolina,1984,7
1991-1992,Patrick Ewing,,"Jan 5, 1992","
New York Knicks
",C,7-0,240,29,Georgetown,1985,6
1991-1992,Scottie Pippen,,"Dec 29, 1991","
Chicago Bulls
",SF,6-8,228,26,Central Arkansas,1987,4
1991-1992,Pervis Ellison,,"Dec 22, 1991","
Washington Bullets
",C,6-9,210,24,Louisville,1989,2
1991-1992,Dennis Rodman,,"Dec 15, 1991","
Detroit Pistons
",PF,6-7,210,30,Southeastern Oklahoma State,1986,5
1991-1992,Jeff Malone,,"Dec 8, 1991","
Utah Jazz
",SG,6-4,205,30,Mississippi State,1983,8
1991-1992,David Robinson,,"Dec 1, 1991","
San Antonio Spurs
",C,7-1,250,26,Navy,1987,2
1991-1992,Kevin Willis,,"Nov 24, 1991","
Atlanta Hawks
",C,7-0,245,29,Michigan State,1984,7
1991-1992,Brad Daugherty,,"Nov 17, 1991","
Cleveland Cavaliers
",C,7-0,245,26,North Carolina,1986,5
1991-1992,Chris Mullin,,"Nov 10, 1991","
Golden State Warriors
",SF,6-7,215,28,St. John's,1985,6
1990-1991,Scott Skiles,,"Apr 21, 1991","
Orlando Magic
",PG,6-1,180,26,Michigan State,1986,4
1990-1991,Clyde Drexler,,"Apr 14, 1991","
Portland Trail Blazers
",SG,6-7,210,28,Houston,1983,7
1990-1991,Magic Johnson,,"Apr 7, 1991","
Los Angeles Lakers
",PG,6-9,255,31,Michigan State,1979,11
1990-1991,Clyde Drexler,,"Mar 31, 1991","
Portland Trail Blazers
",SG,6-7,210,28,Houston,1983,7
1990-1991,Mitch Richmond,,"Mar 24, 1991","
Golden State Warriors
",SG,6-5,215,25,Kansas State,1988,2
1990-1991,Kenny Smith,,"Mar 17, 1991","
Houston Rockets
",PG,6-3,170,25,North Carolina,1987,3
1990-1991,Dennis Scott,,"Mar 10, 1991","
Orlando Magic
",SF,6-8,229,22,Georgia Tech,1990,0
1990-1991,Gerald Wilkins,,"Mar 3, 1991","
New York Knicks
",SG,6-6,185,27,Chattanooga,1985,5
1990-1991,Reggie Miller,,"Feb 24, 1991","
Indiana Pacers
",SG,6-7,185,25,UCLA,1987,3
1990-1991,Lionel Simmons,,"Feb 17, 1991","
Sacramento Kings
",SF,6-7,210,22,La Salle,1990,0
1990-1991,Otis Thorpe,,"Feb 3, 1991","
Houston Rockets
",PF,6-9,225,28,Providence,1984,6
1990-1991,Michael Adams,,"Jan 27, 1991","
Denver Nuggets
",PG,5-10,163,28,Boston College,1985,5
1990-1991,Tim Hardaway,,"Jan 20, 1991","
Golden State Warriors
",PG,6-0,175,24,UTEP,1989,1
1990-1991,Bernard King,,"Jan 13, 1991","
Washington Bullets
",SF,6-7,205,34,Tennessee,1977,13
1990-1991,Dominique Wilkins,,"Jan 6, 1991","
Atlanta Hawks
",SF,6-7,200,31,Georgia,1982,8
1990-1991,Ricky Pierce,,"Dec 30, 1990","
Milwaukee Bucks
",SG,6-4,205,31,Rice,1982,8
1990-1991,Michael Jordan,,"Dec 23, 1990","
Chicago Bulls
",SG,6-6,215,28,North Carolina,1984,6
1990-1991,Kevin Johnson,,"Dec 16, 1990","
Phoenix Suns
",PG,6-1,180,24,California,1987,3
1990-1991,John Stockton,,"Dec 9, 1990","
Utah Jazz
",PG,6-1,170,28,Gonzaga,1984,6
1990-1991,Michael Jordan,,"Dec 2, 1990","
Chicago Bulls
",SG,6-6,215,28,North Carolina,1984,6
1990-1991,Charles Barkley,,"Nov 25, 1990","
Philadelphia Sixers
",PF,6-6,252,28,Auburn,1984,6
1990-1991,Clyde Drexler,,"Nov 18, 1990","
Portland Trail Blazers
",SG,6-7,210,28,Houston,1983,7
1990-1991,Chris Mullin,,"Nov 11, 1990","
Golden State Warriors
",SF,6-7,215,27,St. John's,1985,5
1989-1990,David Robinson,,"Apr 22, 1990","
San Antonio Spurs
",C,7-1,250,24,Navy,1987,0
1989-1990,Magic Johnson,,"Apr 15, 1990","
Los Angeles Lakers
",PG,6-9,255,30,Michigan State,1979,10
1989-1990,Charles Barkley,,"Apr 8, 1990","
Philadelphia Sixers
",PF,6-6,252,27,Auburn,1984,5
1989-1990,Michael Jordan,,"Apr 1, 1990","
Chicago Bulls
",SG,6-6,215,27,North Carolina,1984,5
1989-1990,David Robinson,,"Mar 25, 1990","
San Antonio Spurs
",C,7-1,250,24,Navy,1987,0
1989-1990,Kevin Johnson,,"Mar 18, 1990","
Phoenix Suns
",PG,6-1,180,23,California,1987,2
1989-1990,Rony Seikaly,,"Mar 11, 1990","
Miami Heat
",C,6-11,230,24,Syracuse,1988,1
1989-1990,Hakeem Olajuwon,,"Mar 4, 1990","
Houston Rockets
",C,7-0,255,27,Houston,1984,5
1989-1990,David Robinson,,"Feb 25, 1990","
San Antonio Spurs
",C,7-1,250,24,Navy,1987,0
1989-1990,Tom Chambers,,"Feb 18, 1990","
Phoenix Suns
",PF,6-10,220,30,Utah,1981,8
1989-1990,Tim Hardaway,,"Feb 4, 1990","
Golden State Warriors
",PG,6-0,175,23,UTEP,1989,0
1989-1990,Karl Malone,,"Jan 28, 1990","
Utah Jazz
",PF,6-9,265,26,Louisiana Tech,1985,4
1989-1990,Alvin Robertson,,"Jan 21, 1990","
Milwaukee Bucks
",SG,6-3,185,27,Arkansas,1984,5
1989-1990,Ron Harper,,"Jan 14, 1990","
Los Angeles Clippers
",SG,6-6,185,26,Miami (OH),1986,3
1989-1990,Terry Teagle,,"Jan 7, 1990","
Golden State Warriors
",SG,6-5,195,29,Baylor,1982,7
1989-1990,Karl Malone,,"Dec 30, 1989","
Utah Jazz
",PF,6-9,265,26,Louisiana Tech,1985,4
1989-1990,Terry Cummings,,"Dec 24, 1989","
San Antonio Spurs
",PF,6-9,220,28,DePaul,1982,7
1989-1990,Chris Mullin,,"Dec 17, 1989","
Golden State Warriors
",SF,6-7,215,26,St. John's,1985,4
1989-1990,Michael Jordan,,"Dec 10, 1989","
Chicago Bulls
",SG,6-6,215,27,North Carolina,1984,5
1989-1990,Patrick Ewing,,"Dec 3, 1989","
New York Knicks
",C,7-0,240,27,Georgetown,1985,4
1989-1990,Clyde Drexler,,"Nov 26, 1989","
Portland Trail Blazers
",SG,6-7,210,27,Houston,1983,6
1989-1990,John Stockton,,"Nov 19, 1989","
Utah Jazz
",PG,6-1,170,27,Gonzaga,1984,5
1989-1990,Vern Fleming,,"Nov 12, 1989","
Indiana Pacers
",G,6-5,185,28,Georgia,1984,5
1988-1989,Xavier McDaniel,,"Apr 23, 1989","
Seattle SuperSonics
",PF,6-7,205,25,Wichita State,1985,3
1988-1989,Karl Malone,,"Apr 16, 1989","
Utah Jazz
",PF,6-9,265,25,Louisiana Tech,1985,3
1988-1989,Clyde Drexler,,"Apr 9, 1989","
Portland Trail Blazers
",SG,6-7,210,26,Houston,1983,5
1988-1989,Michael Jordan,,"Apr 2, 1989","
Chicago Bulls
",SG,6-6,215,26,North Carolina,1984,4
1988-1989,Michael Jordan,,"Mar 26, 1989","
Chicago Bulls
",SG,6-6,215,26,North Carolina,1984,4
1988-1989,Kevin Johnson,,"Mar 19, 1989","
Phoenix Suns
",PG,6-1,180,22,California,1987,1
1988-1989,Isiah Thomas,,"Mar 12, 1989","
Detroit Pistons
",PG,6-1,180,27,Indiana,1981,7
1988-1989,Chuck Person,,"Mar 5, 1989","
Indiana Pacers
",SF,6-8,220,24,Auburn,1986,2
1988-1989,Patrick Ewing,,"Feb 26, 1989","
New York Knicks
",C,7-0,240,26,Georgetown,1985,3
1988-1989,Hakeem Olajuwon,,"Feb 19, 1989","
Houston Rockets
",C,7-0,255,26,Houston,1984,4
1988-1989,Ron Harper,,"Feb 5, 1989","
Cleveland Cavaliers
",SG,6-6,185,25,Miami (OH),1986,2
1988-1989,Tom Chambers,,"Jan 29, 1989","
Phoenix Suns
",PF,6-10,220,29,Utah,1981,7
1988-1989,Chris Mullin,,"Jan 22, 1989","
Golden State Warriors
",SF,6-7,215,25,St. John's,1985,3
1988-1989,Michael Jordan,,"Jan 15, 1989","
Chicago Bulls
",SG,6-6,215,26,North Carolina,1984,4
1988-1989,Dale Ellis,,"Jan 8, 1989","
Seattle SuperSonics
",GF,6-7,205,28,Tennessee,1983,5
1988-1989,Magic Johnson,,"Jan 1, 1989","
Los Angeles Lakers
",PG,6-9,255,29,Michigan State,1979,9
1988-1989,Clyde Drexler,,"Dec 25, 1988","
Portland Trail Blazers
",SG,6-7,210,26,Houston,1983,5
1988-1989,Robert Parish,,"Dec 18, 1988","
Boston Celtics
",C,7-0,230,35,Centenary,1976,11
1988-1989,Michael Adams,,"Dec 11, 1988","
Denver Nuggets
",PG,5-10,163,26,Boston College,1985,3
1988-1989,Magic Johnson,,"Dec 4, 1988","
Los Angeles Lakers
",PG,6-9,255,29,Michigan State,1979,9
1988-1989,Patrick Ewing,,"Nov 27, 1988","
New York Knicks
",C,7-0,240,26,Georgetown,1985,3
1988-1989,Michael Jordan,,"Nov 20, 1988","
Chicago Bulls
",SG,6-6,215,26,North Carolina,1984,4
1988-1989,Hakeem Olajuwon,,"Nov 13, 1988","
Houston Rockets
",C,7-0,255,26,Houston,1984,4
1987-1988,Karl Malone,,"Apr 24, 1988","
Utah Jazz
",PF,6-9,265,24,Louisiana Tech,1985,2
1987-1988,Fat Lever,,"Apr 17, 1988","
Denver Nuggets
",PG,6-3,170,27,Arizona State,1982,5
1987-1988,Harold Pressley,,"Apr 10, 1988","
Sacramento Kings
",GF,6-7,210,24,Villanova,1986,1
1987-1988,Michael Jordan,,"Apr 3, 1988","
Chicago Bulls
",SG,6-6,215,25,North Carolina,1984,3
1987-1988,Michael Jordan,,"Mar 27, 1988","
Chicago Bulls
",SG,6-6,215,25,North Carolina,1984,3
1987-1988,Charles Barkley,,"Mar 20, 1988","
Philadelphia Sixers
",PF,6-6,252,25,Auburn,1984,3
1987-1988,Clyde Drexler,,"Mar 13, 1988","
Portland Trail Blazers
",SG,6-7,210,25,Houston,1983,4
1987-1988,Bobby Hansen,,"Mar 6, 1988","
Utah Jazz
",SG,6-6,190,27,Iowa,1983,4
1987-1988,Roy Tarpley,,"Feb 28, 1988","
Dallas Mavericks
",PF,6-11,230,23,Michigan,1986,1
1987-1988,John Stockton,,"Feb 21, 1988","
Utah Jazz
",PG,6-1,170,25,Gonzaga,1984,3
1987-1988,Dominique Wilkins,,"Feb 14, 1988","
Atlanta Hawks
",SF,6-7,200,28,Georgia,1982,5
1987-1988,Bernard King,,"Jan 31, 1988","
Washington Bullets
",SF,6-7,205,31,Tennessee,1977,10
1987-1988,Michael Jordan,,"Jan 24, 1988","
Chicago Bulls
",SG,6-6,215,25,North Carolina,1984,3
1987-1988,Dominique Wilkins,,"Jan 17, 1988","
Atlanta Hawks
",SF,6-7,200,28,Georgia,1982,5
1987-1988,Byron Scott,,"Jan 10, 1988","
Los Angeles Lakers
",SG,6-3,195,26,Arizona State,1983,4
1987-1988,Karl Malone,,"Jan 3, 1988","
Utah Jazz
",PF,6-9,265,24,Louisiana Tech,1985,2
1987-1988,Dominique Wilkins,,"Dec 27, 1987","
Atlanta Hawks
",SF,6-7,200,28,Georgia,1982,5
1987-1988,Larry Nance,,"Dec 20, 1987","
Phoenix Suns
",PF,6-10,205,29,Clemson,1981,6
1987-1988,Magic Johnson,,"Dec 13, 1987","
Los Angeles Lakers
",PG,6-9,255,28,Michigan State,1979,8
1987-1988,Clyde Drexler,,"Dec 6, 1987","
Portland Trail Blazers
",SG,6-7,210,25,Houston,1983,4
1987-1988,Clyde Drexler,,"Nov 29, 1987","
Portland Trail Blazers
",SG,6-7,210,25,Houston,1983,4
1987-1988,Xavier McDaniel,,"Nov 22, 1987","
Seattle SuperSonics
",PF,6-7,205,24,Wichita State,1985,2
1987-1988,Larry Bird,,"Nov 15, 1987","
Boston Celtics
",SF,6-9,220,31,Indiana State,1978,8
1986-1987,Julius Erving,,"Apr 19, 1987","
Philadelphia Sixers
",SF,6-6,200,37,Massachusetts,1972,14
1986-1987,Michael Jordan,,"Apr 12, 1987","
Chicago Bulls
",SG,6-6,215,24,North Carolina,1984,2
1986-1987,Magic Johnson,,"Apr 5, 1987","
Los Angeles Lakers
",PG,6-9,255,27,Michigan State,1979,7
1986-1987,Larry Smith,,"Mar 29, 1987","
Golden State Warriors
",PF,6-8,215,29,Alcorn State,1980,6
1986-1987,Magic Johnson,,"Mar 22, 1987","
Los Angeles Lakers
",PG,6-9,255,27,Michigan State,1979,7
1986-1987,Karl Malone,,"Mar 15, 1987","
Utah Jazz
",PF,6-9,265,23,Louisiana Tech,1985,1
1986-1987,Magic Johnson,,"Mar 8, 1987","
Los Angeles Lakers
",PG,6-9,255,27,Michigan State,1979,7
1986-1987,Michael Jordan,,"Mar 1, 1987","
Chicago Bulls
",SG,6-6,215,24,North Carolina,1984,2
1986-1987,Moses Malone,,"Feb 22, 1987","
Washington Bullets
",C,6-10,215,31,Petersburg High School (Virginia),1976,10
1986-1987,Magic Johnson,,"Feb 15, 1987","
Los Angeles Lakers
",PG,6-9,255,27,Michigan State,1979,7
1986-1987,Fat Lever,,"Feb 1, 1987","
Denver Nuggets
",PG,6-3,170,26,Arizona State,1982,4
1986-1987,Alex English,,"Jan 25, 1987","
Denver Nuggets
",SF,6-7,190,33,South Carolina,1976,10
1986-1987,Otis Thorpe,,"Jan 18, 1987","
Sacramento Kings
",PF,6-9,225,24,Providence,1984,2
1986-1987,Isiah Thomas,,"Jan 11, 1987","
Detroit Pistons
",PG,6-1,180,25,Indiana,1981,5
1986-1987,Larry Bird,,"Jan 4, 1987","
Boston Celtics
",SF,6-9,220,30,Indiana State,1978,7
1986-1987,Patrick Ewing,,"Dec 28, 1986","
New York Knicks
",C,7-0,240,24,Georgetown,1985,1
1986-1987,Magic Johnson,,"Dec 21, 1986","
Los Angeles Lakers
",PG,6-9,255,27,Michigan State,1979,7
1986-1987,Dominique Wilkins,,"Dec 14, 1986","
Atlanta Hawks
",SF,6-7,200,27,Georgia,1982,4
1986-1987,Tom Chambers,,"Dec 7, 1986","
Seattle SuperSonics
",PF,6-10,220,27,Utah,1981,5
1986-1987,Hot Rod Williams,,"Nov 30, 1986","
Cleveland Cavaliers
",FC,6-11,215,24,Tulane,1985,0
1986-1987,Alvin Robertson,,"Nov 23, 1986","
San Antonio Spurs
",SG,6-3,185,24,Arkansas,1984,2
1986-1987,Robert Parish,,"Nov 16, 1986","
Boston Celtics
",C,7-0,230,33,Centenary,1976,9
1986-1987,Michael Jordan,,"Nov 9, 1986","
Chicago Bulls
",SG,6-6,215,24,North Carolina,1984,2
1985-1986,Dominique Wilkins,,"Apr 13, 1986","
Atlanta Hawks
",SF,6-7,200,26,Georgia,1982,3
1985-1986,Herb Williams,,"Apr 6, 1986","
Indiana Pacers
",C,6-10,242,28,Ohio State,1981,4
1985-1986,Charles Barkley,,"Mar 30, 1986","
Philadelphia Sixers
",PF,6-6,252,23,Auburn,1984,1
1985-1986,Adrian Dantley,,"Mar 23, 1986","
Utah Jazz
",SF,6-5,208,30,Notre Dame,1976,9
1985-1986,Larry Bird,,"Mar 16, 1986","
Boston Celtics
",SF,6-9,220,29,Indiana State,1978,6
1985-1986,Magic Johnson,,"Mar 9, 1986","
Los Angeles Lakers
",PG,6-9,255,26,Michigan State,1979,6
1985-1986,Charles Barkley,,"Mar 2, 1986","
Philadelphia Sixers
",PF,6-6,252,23,Auburn,1984,1
1985-1986,Sidney Moncrief,,"Feb 23, 1986","
Milwaukee Bucks
",SG,6-3,180,28,Arkansas,1979,6
1985-1986,Larry Bird,,"Feb 16, 1986","
Boston Celtics
",SF,6-9,220,29,Indiana State,1978,6
1985-1986,Alex English,,"Feb 2, 1986","
Denver Nuggets
",SF,6-7,190,32,South Carolina,1976,9
1985-1986,Charles Barkley,,"Jan 26, 1986","
Philadelphia Sixers
",PF,6-6,252,23,Auburn,1984,1
1985-1986,Larry Bird,,"Jan 19, 1986","
Boston Celtics
",SF,6-9,220,29,Indiana State,1978,6
1985-1986,Calvin Natt,,"Jan 12, 1986","
Denver Nuggets
",F,6-6,220,29,Louisiana-Monroe,1979,6
1985-1986,Clyde Drexler,,"Jan 5, 1986","
Portland Trail Blazers
",SG,6-7,210,23,Houston,1983,2
1985-1986,Dominique Wilkins,,"Dec 29, 1985","
Atlanta Hawks
",SF,6-7,200,26,Georgia,1982,3
1985-1986,Larry Nance,,"Dec 22, 1985","
Phoenix Suns
",PF,6-10,205,27,Clemson,1981,4
1985-1986,Alvin Robertson,,"Dec 15, 1985","
San Antonio Spurs
",SG,6-3,185,23,Arkansas,1984,1
1985-1986,Jeff Ruland,,"Dec 8, 1985","
Washington Bullets
",C,6-10,240,27,Iona,1980,4
1985-1986,Larry Bird,,"Dec 1, 1985","
Boston Celtics
",SF,6-9,220,29,Indiana State,1978,6
1985-1986,Alex English,,"Nov 24, 1985","
Denver Nuggets
",SF,6-7,190,32,South Carolina,1976,9
1985-1986,Patrick Ewing,,"Nov 17, 1985","
New York Knicks
",C,7-0,240,23,Georgetown,1985,0
1985-1986,Buck Williams,,"Nov 10, 1985","
New Jersey Nets
",PF,6-8,215,25,Maryland,1981,4
1985-1986,Derek Smith,,"Nov 3, 1985","
Los Angeles Clippers
",SG,6-6,205,24,Louisville,1982,3
1984-1985,Micheal Ray Richardson,,"Apr 14, 1985","
New Jersey Nets
",PG,6-5,189,29,Montana,1978,6
1984-1985,Derek Smith,,"Apr 7, 1985","
Los Angeles Clippers
",SG,6-6,205,23,Louisville,1982,2
1984-1985,Calvin Natt,,"Apr 1, 1985","
Denver Nuggets
",F,6-6,220,28,Louisiana-Monroe,1979,5
